MD5 differential path toolbox
Copyright (C) 2009 Marc Stevens
http://homepages.cwi.nl/~stevens/

delta_m[11] = [!-14!]
Q-3:	|01101111 11101100 01111011 01101110|
Q-2:	|01-0101+ 01110000 -0100001 000001+1|
Q-1:	|-++0+--- 10100010 -0100001 1110+--0|
Q0:	|00-01111 011+0-00 -1+11011 00-011+1| ok p=1
Q1:	|1++.-110 .0--.-.. -.0+..+. .1-.01+.| ok p=0.444336
Q2:	|.01.+..+ .00-.-.. ..++..0. .-+.01+.| ok p=1
Q3:	|.10.+..0 .+1-.+.. 1!+...1. .-+.-1..| ok p=1
Q4:	|.0...1.+ .+.-.+.. ..+0..-. .-..++0.| ok p=1
Q5:	|11..01.- .0.+.+.. ..0...0^ .00^0-0.| ok p=1
Q6:	|10...+.1 .0.+.... ..-^..1+ .1..+++0| ok p=1
Q7:	|-1..^+.0 .-.1.1.. !.1-...0 ....0-+0| ok p=1
Q8:	|00..-..- .+.1.... 1.000..+ ....1-.+| ok p=1
Q9:	|0..!10.+ .+.-...1 0..10.10 ..!...1-| ok p=1
Q10:	|.1..0..- 0+.0..11 +00++000 000.1100| ok p=1
Q11:	|010.1.1+ 1+01..0- +00+1101 010.111-| ok p=1
Q12:	|1+1^1100 +.11^^-- +010---- ---.----| ok p=1
Q13:	|++-++0+0 10----0- -++--++0 +--.----| ok p=1
Q14:	|1-001-+. 1.11110+ 1-10.+01 1......-| ok p=1
Q15:	|1101+0+. ..+100.0 0++01.+. 110.011-| ok p=0.795898
Q16:	|.1..+-1. 0.+..-.- .0...^-. 0......1| ok p=0.765625
Q17:	|.0..1.0. 1.0..-0+ .0^...1. 1...-..1| ok p=0.65625
Q18:	|.0..-^.. -.1..+.+ .1....-. -...-...| ok p=0.714844
Q19:	|.+...... .....0++ .-....-. ...0+...| ok p=0.654297
Q20:	|...0^... ^....0++ ...0..0. ^..1+..0| ok p=1
Q21:	|.^.1.... 0.....++ .^.1..0. ...+0..1| ok p=0.896484
Q22:	|...+.... 1.....-1 ...-.... ....0..-| ok p=0.705078
Q23:	|........ -.0...00 ......0. ...^....| ok p=1
Q24:	|...^.0.. ..1...1. ...^..1. ..0....^| ok p=0.999023
Q25:	|........ ^.+..... ......+. ..1.....| ok p=0.923828
Q26:	|....0-.. ........ .0...... ..+.....| ok p=0.99707
Q27:	|....1-.. ..^..... .1....^. ........| ok p=0.984375
Q28:	|....-+.. ........ .-...... ..^.....| ok p=0.980469
Q29:	|.....0.. ........ .0...... ........| ok p=1
Q30:	|....^1.. ........ .+...... ........| ok p=1
Q31:	|........ ........ .+...... ........| ok p=0.979492
Q32:	|........ ........ ........ ........| ok p=1
Q33:	|........ ........ .!...... ........| ok p=1
Q34:	|........ ........ ........ ........| ok p=1
Q35:	|........ ........ ........ ........| ok p=1
Q36:	|........ ........ ........ ........| ok p=1
Q37:	|........ ........ ........ ........| ok p=1
Q38:	|........ ........ ........ ........| ok p=1
Q39:	|........ ........ ........ ........| ok p=1
Q40:	|........ ........ ........ ........| ok p=1
Q41:	|........ ........ ........ ........| ok p=1
Q42:	|........ ........ ........ ........| ok p=1
Q43:	|........ ........ ........ ........| ok p=1
Q44:	|........ ........ ........ ........| ok p=1
Q45:	|........ ........ ........ ........| ok p=1
Q46:	|........ ........ ........ ........| ok p=1
