MD5 differential path toolbox
Copyright (C) 2009 Marc Stevens
http://homepages.cwi.nl/~stevens/

delta_m[11] = [!27!]
Q-3:	|10011000 11100001 11001011 10110000|
Q-2:	|11-+-0-- 00+-0001 -10+1-+1 +++1+--0|
Q-1:	|00-00+1+ 01+-00-+ +01+010- 11-0+--1|
Q0:	|1011+100 +--1-+-+ ++0--+1- -+00-++1| ok p=0.492188
Q1:	|-.0-10.- 1000+0.. .1-01-.. -1+.+1++| ok p=0.745117
Q2:	|-0.--.^- 1--0+000 0+0100.0 .0-.--.+| ok p=1
Q3:	|01..-.+. .0-+1.0. .11.+0.1 0.101-1.| ok p=1
Q4:	|+0.1..01 .-0+0.-. .-.1+..+ ..01--.0| ok p=1
Q5:	|11..0.0. .-1...0. .1.0+.0+ .1-+-1..| ok p=1
Q6:	|-01...0. .+.1..0. .0.++!0- .11-.0..| ok p=1
Q7:	|100...+. .0...... .1.0+.+1 .+1+0-..| ok p=1
Q8:	|11....-0 .0.^!... ...-1.-0 .-.0.0..| ok p=1
Q9:	|......-1 ..0+.... ...-+0+. .-10.1..| ok p=1
Q10:	|.!00.11- 00011.1. .0.-11+. .-001+1.| ok p=1
Q11:	|.011.0++ 10+01^1^ .10-0101 .1-10+0.| ok p=1
Q12:	|.0-+^--+ +--+---- .+11--10 ^-+-+++.| ok p=1
Q13:	|^+1--+0- 1+-++0+1 .-++-+-- -+1++11.| ok p=1
Q14:	|+1010001 -0..1+11 .001+101 1010.01.| ok p=1
Q15:	|0101--.1 0-100+00 .1+00011 1-.-1-..| ok p=0.847656
Q16:	|0...1... 0+.0.1.. ....0..1 -..1.-.0| ok p=0.529297
Q17:	|..-.0^.. .1.1.0.+ ..^.0..1 .^.1.0.1| ok p=0.4375
Q18:	|..-.1... .1.+...+ ....0..+ ^..+.1.-| ok p=0.630859
Q19:	|..+.+... .+....0- ....-... ........| ok p=0.945312
Q20:	|.1+...0. ...^..1- ..0...0^ ...^...^| ok p=1
Q21:	|.1+.^.1. .^....-0 ..1.^.1. ...0....| ok p=0.751953
Q22:	|.+1...+. .......0 ..+...-. ...1....| ok p=0.262695
Q23:	|.10..... .0....^. ........ ...+.0..| ok p=1
Q24:	|.0....^. .1...0.. ..^...^. 0....1..| ok p=0.691406
Q25:	|........ .-...1.. ........ ...^.-..| ok p=0.722656
Q26:	|....0... .....-.. .......0 +.......| ok p=1
Q27:	|....1... .^...... .......1 +....^..| ok p=0.963867
Q28:	|....+... .....^.. .......+ -.......| ok p=0.96582
Q29:	|....0... ........ ........ 0.......| ok p=0.967773
Q30:	|....-... ........ .......^ 1.......| ok p=1
Q31:	|....-... ........ ........ ........| ok p=0.96875
Q32:	|........ ........ ........ ........| ok p=1
Q33:	|....!... ........ ........ ........| ok p=1
Q34:	|........ ........ ........ ........| ok p=1
Q35:	|........ ........ ........ ........| ok p=1
Q36:	|........ ........ ........ ........| ok p=1
Q37:	|........ ........ ........ ........| ok p=1
Q38:	|........ ........ ........ ........| ok p=1
Q39:	|........ ........ ........ ........| ok p=1
Q40:	|........ ........ ........ ........| ok p=1
Q41:	|........ ........ ........ ........| ok p=1
Q42:	|........ ........ ........ ........| ok p=1
Q43:	|........ ........ ........ ........| ok p=1
Q44:	|........ ........ ........ ........| ok p=1
Q45:	|........ ........ ........ ........| ok p=1
Q46:	|........ ........ ........ ........| ok p=1
Q47:	|........ ........ ........ ........| ok p=1
Q48:	|........ ........ ........ ........| ok p=1
Q49:	|........ ........ ........ ........| ok p=1
